period,mean_regret
1,-0.02345048136870557
2,-0.010545481252953248
3,0.04347976804094726
4,0.04899620574839332
5,0.1557325546791037
6,0.26677743834228773
7,0.37825317547871895
8,0.48977199796247495
9,0.5962810429639291
10,0.6832028520759008
11,0.7681659375989243
12,0.8529331507630529
13,0.9555647456318528
14,0.9850936824589148
15,1.0073123534818034
16,1.0287999979242746
17,1.0502145397087037
18,1.071621771227329
19,1.0930282717193738
20,1.1144346991087601
21,1.170386888708114
22,1.190526771946622
23,1.2070854245490452
24,1.22328595408786
25,1.239450671320314
26,1.2556118073221316
27,1.271772585200886
28,1.2879333272673343
29,1.2954613642017052
30,1.3066421278769669
31,1.3181881642263178
32,1.3297707278430777
33,1.3413569441865782
34,1.3529435258027527
35,1.3645301439461945
36,1.3761167657423636
37,1.3877033879038052
38,1.3992900101017738
39,1.4108766323033954
40,1.4224632545053821
41,1.4340498767074055
42,1.4456364989094324
43,1.45722312111146
44,1.4688097433134868
45,1.507716382262065
46,1.517064248501744
47,1.5234562374705332
48,1.5295526387122336
49,1.5356194811812247
50,1.541683367772945
51,1.5477469587769381
52,1.5538105202221586
53,1.559874078711502
54,1.5659376369052578
55,1.5720011950694546
56,1.5780647532306953
57,1.5841283113916407
58,1.5901918695525565
59,1.5962554277134688
60,1.602318985874382
61,1.5999301777837978
62,1.6074426836195503
63,1.615945320847937
64,1.6245469712155867
65,1.633158522897163
66,1.6417710647101316
67,1.6503837055362396
68,1.6589963562636616
69,1.667609007981215
70,1.6762216597977815
71,1.6848343116242492
72,1.693446963451707
73,1.7020596152792637
74,1.7106722671068308
75,1.7192849189343984
76,1.7278975707619666
77,1.7365102225895346
78,1.7451228744171021
79,1.7537355262446706
80,1.7623481780722383
81,1.7709608298998063
82,1.7795734817273743
83,1.7881861335549423
84,1.79679878538251
85,1.805411437210078
86,1.814024089037646
87,1.8226367408652138
88,1.8312493926927818
89,1.8398620445203497
90,1.8484746963479175
91,1.857087348175486
92,1.865700000003054
93,1.895092189761419
94,1.9002230772667439
95,1.9029278345467653
96,1.9053899788042556
97,1.9078278617594928
98,1.910263318584505
99,1.9126985327964952
100,1.9151337227471827
101,1.91756891027174
102,1.9200040975536843
103,1.922439284811367
104,1.9248744720666242
105,1.9273096593216383
106,1.929744846576628
107,1.9321800338316155
108,1.934615221086603
109,1.9370504083415903
110,1.9394855955965773
111,1.9419207828515646
112,1.9443559701065518
113,1.9467911573615388
114,1.949226344616526
115,1.9516615318715131
116,1.9540967191265008
117,1.9565319063814879
118,1.9589670936364747
119,1.9614022808914622
120,1.9638374681464494
121,1.9662726554014367
122,1.9687078426564242
123,1.971143029911411
124,1.9735782171663985
125,1.9731104065931127
126,1.9783036041664883
127,1.98406290255453
128,1.9898788110240377
129,1.995700380501693
130,2.0015225160801626
131,2.0073447082687133
132,2.0131669061182724
133,2.0189891045339325
134,2.0248113030062025
135,2.030633501484134
136,2.036455699962631
137,2.042277898441185
138,2.0481000969197445
139,2.053922295398304
140,2.059744493876864
141,2.065566692355424
142,2.0713888908339846
143,2.077211089312544
144,2.0830332877911046
145,2.0888554862696647
146,2.094677684748225
147,2.1004998832267847
148,2.1063220817053447
149,2.1121442801839048
150,2.117966478662465
151,2.123788677141025
152,2.1296108756195853
153,2.1354330740981453
154,2.141255272576706
155,2.1470774710552654
156,2.1528996695338254
157,2.1587218680123854
158,2.164544066490946
159,2.1703662649695055
160,2.176188463448066
161,2.182010661926626
162,2.1878328604051864
163,2.193655058883746
164,2.199477257362306
165,2.205299455840866
166,2.211121654319426
167,2.216943852797986
168,2.2227660512765466
169,2.2285882497551066
170,2.2344104482336666
171,2.2402326467122267
172,2.2460548451907867
173,2.2518770436693467
174,2.2576992421479067
175,2.2635214406264668
176,2.269343639105027
177,2.275165837583587
178,2.2809880360621473
179,2.286810234540707
180,2.292632433019267
181,2.298454631497827
182,2.304276829976387
183,2.310099028454947
184,2.3159212269335074
185,2.3217434254120675
186,2.327565623890628
187,2.3333878223691875
188,2.339210020847748
189,2.3637474043161144
190,2.367723886747183
191,2.369644279074521
192,2.371359062391486
193,2.3730532848074137
194,2.374745451133238
195,2.3764374118500524
196,2.3781293520059648
197,2.3798212901057876
198,2.381513228000002
199,2.3832051658736546
200,2.3848971037452515
201,2.3865890416166424
202,2.3882809794880133
203,2.3899729173593816
204,2.39166485523075
205,2.393356793102118
206,2.3950487309734863
