period,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
1,-0.046422878386093935,-0.01972901304180341,0.006189992298197944,-0.05757362017764628,-0.05944266728361852,-0.04097358532010731,0.006660411578627623,0.003491590563657665,-0.05693333044005083,-0.04609431899433214
2,-0.03581511797208048,-0.006451866093360903,0.02205903978064061,-0.04808093394278806,-0.05013688575935743,-0.02982089559949519,0.022576500989113235,0.019090797872646337,-0.04737661523143294,-0.03545370264114245
3,0.018398119079044206,0.04776845363633697,0.0755693949219326,0.006122665830666174,0.004065098648386278,0.02439517082418552,0.07603185744659013,0.07291663443652951,0.0068275379267293546,0.018759818374775694
4,0.023933355562212766,0.053304398387362895,0.08103434321411773,0.011656938586067589,0.009599209867216574,0.02993069024460948,0.08149130587039377,0.07841313087097368,0.012361866020601686,0.024295083254423533
5,0.10100133822081137,0.08190811169556134,0.16419147688458413,0.16252349055372722,0.16046481422916015,0.09200758013645294,0.1306208743508217,0.16736009556115794,0.16322874261475856,0.06921734059993068
6,0.2035419300385093,0.13189870666554016,0.27304168379062993,0.33961014575049325,0.33755137466535456,0.1787951223385379,0.20350607583386648,0.2821805596036332,0.3403154302741744,0.13751826554610214
7,0.3086297827721171,0.184027989801697,0.38446119802023365,0.5193188112701699,0.5172600307089741,0.2680537297716471,0.27876684061717283,0.3995883735813376,0.5200240990401159,0.20815705725234013
8,0.4139723615973159,0.23637114175447171,0.4961376429821932,0.6992896778221376,0.6972308963133361,0.35755944372785875,0.3542651617305054,0.5172549225525649,0.6999949659167102,0.2790296356345847
9,0.49760363706349886,0.29190074938391086,0.5836032154870073,0.8514599000740299,0.8494011185114902,0.43195426098495726,0.4209968543064484,0.6084111132261416,0.8521651881870119,0.3433582889955661
10,0.551370971753474,0.3123930603914168,0.6417241319065917,0.9927431561151456,0.990684374547232,0.475113826933491,0.4551750992194067,0.6707003530812415,0.9934484442299685,0.3746716450266051
11,0.6021519123658285,0.32938164173672924,0.6969105827176532,1.1329377155351836,1.1308789339667327,0.5151498677511683,0.48609799936606635,0.7301028978544938,1.1336430036501906,0.4026834713246499
12,0.652634213570421,0.34601985011582237,0.7518035869678622,1.273023405293114,1.270964623724609,0.5548735560557602,0.5166953650360963,0.7892167731195614,1.273728693408139,0.43036514464939535
13,0.7009983998022181,0.3680180872011124,0.8053195273162801,1.7069170161037626,1.5430308761894982,0.6272480820048295,0.8286964950905797,0.8630190445252519,1.3756387111855206,0.639339398694446
14,0.7355727938952582,0.39360838684488053,0.8325944318308002,1.8024916393724482,1.5815094035577708,0.6358812728841686,0.9120818702836487,0.8765229256863247,1.415487111646501,0.6832183149299064
15,0.7687682087744226,0.4195578927444964,0.8572452327619305,1.8642343638869372,1.5966291584163816,0.6381403302565348,0.9726056699905763,0.8839969678229357,1.4491293503758413,0.7105876973844076
16,0.8018257257321995,0.44554331926969704,0.8816336233347218,1.922593898526007,1.6094130360240264,0.6397619742782038,1.0308433121488898,0.8908680260571005,1.4821509729320175,0.736306126460813
17,0.8348694528978375,0.4715323378574561,0.9059957728716793,1.9806151141775346,1.6219633259065747,0.641319876964803,1.0888523385523419,0.8976787859010207,1.5151105338708772,0.7618594601994086
18,0.8679118010842617,0.49752171565147096,0.9303552983050535,2.0386024979303077,1.6344902570166133,0.6428714055178951,1.1468385033803077,0.9044835159059164,1.5480638886480054,0.7873962844042235
19,0.9009540113727645,0.5235111293661114,0.9547145613280692,2.0965864984932057,1.6470148522494008,0.6444222966576366,1.204822382050725,0.9112876429269096,1.5810166228089604,0.8129314576556601
20,0.9339962078714752,0.5495005466728146,0.9790737981100491,2.154570160737116,1.6595392138944631,0.645973124056043,1.2628060321053873,0.9180917096495125,1.613969294908298,0.838466465811759
21,0.9778538937111277,0.5908011596332956,1.01986753982041,2.2613273247389394,1.7470887986427224,0.6894716185383427,1.369563194837973,0.9574189876705401,1.6577913298281557,0.949495846754387
22,0.9908278700754841,0.600284340116019,1.02861054534571,2.3440030411391217,1.7904187992164249,0.695620488128585,1.4522389111112315,0.9613540278760166,1.6707184646277748,1.0141312838285335
23,1.0007134754923108,0.6065857773509669,1.0341484772525038,2.42427061277914,1.8293268413726718,0.6980343952296216,1.5325064827385573,0.961749844299938,1.6805561094153703,1.0741273265158315
