period,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
4,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
5,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
6,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
7,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
8,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
9,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
10,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
11,0.711644491770184,0.8470846125595867,0.6980480228959046,0.5,0.5,0.7475483682739421,0.7820598933230667,0.6855399920630337,0.5,0.7941511086490193
12,0.9023915129608492,0.9314716818831164,0.9387377521667727,1.5,1.3177280763432553,1.1037679807597327,1.5,1.0428065086401344,0.9027400207409969,1.3854470359424542
13,0.9023915129608492,0.9314716818831164,0.9387377521667727,1.5,1.3177280763432553,1.1037679807597327,1.5,1.0428065086401344,0.9027400207409969,1.3854470359424542
14,0.9023915129608492,0.9314716818831164,0.9387377521667727,1.5,1.3177280763432553,1.1037679807597327,1.5,1.0428065086401344,0.9027400207409969,1.3854470359424542
15,0.9023915129608492,0.9314716818831164,0.9387377521667727,1.5,1.3177280763432553,1.1037679807597327,1.5,1.0428065086401344,0.9027400207409969,1.3854470359424542
