period,mean_regret,std_regret,standard_error,ci95_lower,ci95_upper
1,-0.03108274192031692,0.027630287163823947,0.008737463984219759,-0.04820817132938765,-0.013957312511246194
2,-0.018940967859725728,0.030393315880206325,0.00961121038264173,-0.037778940209703515,-0.00010299550974793986
3,0.035085475112517646,0.030122905950216917,0.00952569925457241,0.016415104573555724,0.05375584565147957
4,0.04060203218779797,0.030095907974624834,0.009517161745063948,0.021948395167472632,0.05925566920812331
5,0.1292523864846966,0.039357858869666855,0.01244604778556074,0.10485813282499756,0.15364664014439566
6,0.24279592945068412,0.08225289429630249,0.026010649011738846,0.19181505738767599,0.29377680151369223
7,0.35882879128358053,0.12892161918318024,0.0407685956255706,0.2789223438574622,0.4387352387096989
8,0.4751105850031678,0.17637995459850717,0.055776239012837216,0.3657891565380068,0.5844320134683287
9,0.5730854326220063,0.21439127551678833,0.06779647411017437,0.4402043433660645,0.7059665218779481
10,0.6458025063204573,0.2624394326904539,0.08299063551442853,0.48314086071217743,0.8084641519287372
11,0.7159938026268696,0.31175999651516073,0.09858716723140645,0.522762954853313,0.9092246504004262
12,0.7859325211940782,0.36136023790158606,0.11427214075893163,0.5619591253065722,1.0099059170815843
13,0.94582256381135,0.44098362424922916,0.13945126634634242,0.6724980817725188,1.2191470458501812
14,0.9868968150931707,0.4563898250910299,0.14432313482135178,0.7040234708433213,1.2697701593430202
15,1.0160894872414465,0.4644788004693048,0.14688109343458886,0.7282025441096525,1.3039764303732406
16,1.0440940014763678,0.47240088270012043,0.14938627580064137,0.7512969009071107,1.336891102045625
17,1.0719796999199533,0.48086520975077257,0.152062931034705,0.7739363550919316,1.370023044747975
18,1.0998535167844057,0.48991473561487103,0.15492464238222045,0.7962012177152535,1.4035058158535578
19,1.1277261454909442,0.49952483611503473,0.1579636229945845,0.8181174444215586,1.4373348465603297
20,1.155598655381692,0.5096645262980368,0.1611700745692581,0.8397053092259461,1.4714920015374378
21,1.2220679694175893,0.52644862567469,0.16647767281974174,0.8957717306908956,1.548364208144283
22,1.2548207771464903,0.5468260388852292,0.17292157667651256,0.9158944868605257,1.593747067432455
23,1.2842019342446913,0.5685678602833484,0.17979694428637688,0.9317999234433927,1.63660394504599
24,1.3132459262798224,0.5913446804006421,0.18699960722903605,0.9467266961109118,1.679765156448733
25,1.3422562018086466,0.6150236384822062,0.1944875512447754,0.9610606013688867,1.7234518022484064
26,1.3712631056868398,0.6395027420229767,0.20222852347156814,0.9748951996825663,1.7676310116911134
27,1.4002696723999701,0.6646934154919975,0.2101945138671362,0.9882884252203832,1.812250919579557
28,1.4292762053965942,0.6905177693792887,0.21836089160574254,1.0012888578493389,1.8572635529438495
29,1.4185035874809728,0.6725777987027621,0.21268777475629697,1.0016355489586308,1.8353716260033148
30,1.4265633001194236,0.6664882296203261,0.210762083929353,1.0134696156178917,1.8396569846209554
31,1.4365062458132811,0.6619011683888507,0.20931152780354112,1.0262556513183405,1.8467568403082217
32,1.44663751481268,0.6578076095746198,0.20801703084465833,1.0389241343571496,1.8543508952682104
33,1.4567876161426327,0.6541135542110659,0.20684886796949917,1.0513638349224144,1.8622113973628511
34,1.466939600705641,0.650815543158466,0.20580594530203666,1.063559947913649,1.870319253497633
35,1.4770917735919549,0.6479186049734772,0.20488985301150878,1.0755076616893977,1.878675885494512
36,1.4872439653105989,0.6454280390384461,0.20410226690975627,1.0872035221674765,1.8872844084537213
37,1.497396158912476,0.6433485548484437,0.20344467626988447,1.0986445934235025,1.8961477244014495
38,1.507548352702677,0.6416841479578571,0.20291834459713123,1.1098283972922998,1.9052683081130541
39,1.5177005465117097,0.6404380544559771,0.20252429523278362,1.1207529278554538,1.9146481651679657
40,1.5278527403226259,0.63961271921217,0.20226330131241954,1.1314166697502834,1.9242888108949683
41,1.53800493413373,0.6392097720522248,0.20213587823220724,1.1418186127986039,1.9341912554688563
42,1.5481571279448534,0.6392300117504249,0.20214227858675393,1.1519582619148157,1.9443559939748911
43,1.5583093217559787,0.6396733981370083,0.20228248967326545,1.1618356419963785,1.954783001515579
44,1.568461515567104,0.6405390524957504,0.2025562336172732,1.1714512976772484,1.9654717334569596
45,1.6057764711118216,0.6426046828451004,0.20320944328806476,1.2074859622672147,2.004066979956429
46,1.6135653146041782,0.6445530035301943,0.20382555638579639,1.2140672240880173,2.013063405120339
47,1.6184015468912984,0.6465740529014021,0.20446466831346316,1.2176507969969106,2.0191522967856863
48,1.622942518057895,0.6486847163986477,0.20513211871601042,1.2208835653745145,2.0250014707412753
49,1.6274539631124392,0.6508856794747404,0.20582812435264877,1.2240308393812476,2.0308770868436308
50,1.6319624555557781,0.6531761645487592,0.20655243933070064,1.227119674467605,2.0368052366439513
51,1.6364706527379966,0.6555552447452021,0.20730477054639668,1.2301533024670592,2.0427880030089343
52,1.640978820394103,0.6580219600624964,0.20808481442058416,1.233132584129758,2.048825056658448
53,1.6454869850975982,0.6605753288365857,0.20889226052383156,1.2360581544708884,2.054915815724308
54,1.6499951495058323,0.663214350228777,0.20972679236315486,1.2389306364740487,2.0610596625376156
