period,mean_regret
1,0.01694449805846987
2,0.03388899611693974
3,0.034015565870335274
4,0.03414213562373081
5,0.14535797586926508
6,0.2565738161147994
7,0.36778965636033367
8,0.479005496605868
9,0.5801260406081591
10,0.6812465846104498
11,0.782367128612741
12,0.883487672615032
13,0.9086065468428062
14,0.9337254210705803
15,0.9588442952983544
16,0.9839631695261284
17,1.0090820437539025
18,1.034200917981677
19,1.0593197922094506
20,1.0844386664372248
21,1.1131594293937854
22,1.141880192350346
23,1.1706009553069068
24,1.1993217182634675
25,1.2280424812200281
26,1.2567632441765886
27,1.285484007133149
28,1.31420477008971
29,1.3260843682727834
30,1.337963966455857
31,1.34984356463893
32,1.3617231628220037
33,1.3736027610050772
34,1.3854823591881507
35,1.3973619573712242
36,1.4092415555542972
37,1.421121153737371
38,1.4330007519204444
39,1.4448803501035177
40,1.456759948286591
41,1.4686395464696647
42,1.4805191446527382
43,1.4923987428358114
44,1.504278341018885
45,1.516348674120048
46,1.528419007221211
47,1.5404893403223736
48,1.5525596734235365
49,1.5646300065246996
50,1.5767003396258625
51,1.5887706727270254
52,1.6008410058281886
53,1.6129113389293515
54,1.6249816720305144
55,1.6370520051316777
56,1.6491223382328404
57,1.6611926713340033
58,1.6732630044351662
59,1.685333337536329
60,1.6974036706374922
61,1.7008211566975973
62,1.7042386427577032
63,1.707656128817808
64,1.711073614877914
65,1.714491100938019
66,1.7179085869981248
67,1.7213260730582298
68,1.7247435591183353
69,1.728161045178441
70,1.7315785312385465
71,1.7349960172986514
72,1.7384135033587573
73,1.7418309894188624
74,1.7452484754789679
75,1.7486659615390732
76,1.7520834475991787
77,1.7555009336592842
78,1.75891841971939
79,1.7623359057794947
80,1.7657533918396005
81,1.7691708778997057
82,1.7725883639598112
83,1.7760058500199165
84,1.779423336080022
85,1.7828408221401275
86,1.786258308200233
87,1.7896757942603378
88,1.7930932803204436
89,1.7965107663805486
90,1.7999282524406546
91,1.8033457385007599
92,1.806763224560865
93,1.809609952869014
94,1.8124566811771625
95,1.8153034094853115
96,1.81815013779346
97,1.8209968661016087
98,1.8238435944097575
99,1.8266903227179063
100,1.8295370510260547
101,1.8323837793342037
102,1.8352305076423523
103,1.8380772359505013
104,1.8409239642586495
105,1.8437706925667985
106,1.846617420874947
107,1.849464149183096
108,1.8523108774912445
109,1.8551576057993935
110,1.858004334107542
111,1.860851062415691
112,1.8636977907238392
113,1.8665445190319883
114,1.8693912473401368
115,1.8722379756482859
116,1.8750847039564342
117,1.877931432264583
118,1.8807781605727318
119,1.8836248888808806
120,1.886471617189029
121,1.8893183454971776
122,1.892165073805327
123,1.8950118021134756
124,1.8978585304216238
125,1.900620474889686
126,1.9033824193577473
127,1.906144363825809
128,1.9089063082938709
129,1.9116682527619322
130,1.914430197229994
131,1.9171921416980553
132,1.9199540861661173
133,1.9227160306341786
134,1.9254779751022402
135,1.9282399195703015
136,1.9310018640383635
137,1.9337638085064253
138,1.9365257529744866
139,1.9392876974425484
140,1.9420496419106101
141,1.9448115863786715
142,1.9475735308467328
143,1.9503354753147946
144,1.9530974197828566
145,1.955859364250918
146,1.9586213087189794
147,1.9613832531870408
148,1.9641451976551028
149,1.9669071421231643
150,1.9696690865912256
151,1.972431031059287
152,1.975192975527349
153,1.9779549199954107
154,1.980716864463472
155,1.9834788089315338
156,1.9862407533995956
157,1.9890026978676574
158,1.9917646423357183
159,1.99452658680378
160,1.9972885312718422
161,2.000050475739904
162,2.002812420207965
163,2.0055743646760265
164,2.0083363091440884
165,2.01109825361215
166,2.013860198080211
167,2.0166221425482727
168,2.0193840870163347
169,2.0221460314843966
170,2.0249079759524578
171,2.0276699204205193
172,2.0304318648885813
173,2.033193809356643
174,2.0359557538247044
175,2.0387176982927655
176,2.0414796427608275
177,2.0442415872288895
178,2.0470035316969506
179,2.0497654761650117
180,2.0525274206330737
181,2.0552893651011357
182,2.058051309569197
183,2.060813254037258
184,2.06357519850532
185,2.0663371429733823
186,2.069099087441443
187,2.071861031909505
188,2.0746229763775665
189,2.0772070946105594
190,2.0797912128435514
191,2.082375331076544
192,2.0849594493095363
193,2.087543567542529
194,2.0901276857755215
195,2.092711804008514
196,2.0952959222415073
197,2.0978800404744997
198,2.100464158707492
199,2.103048276940485
200,2.105632395173477
201,2.1082165134064694
202,2.110800631639462
203,2.1133847498724547
204,2.115968868105447
205,2.11855298633844
206,2.1211371045714325
207,2.123721222804425
208,2.1263053410374173
209,2.12888945927041
210,2.131473577503402
211,2.134057695736395
212,2.136641813969388
213,2.1392259322023808
214,2.141810050435373
215,2.1443941686683656
216,2.1469782869013576
217,2.1495624051343505
218,2.152146523367343
219,2.1547306416003353
220,2.1573147598333287
221,2.159898878066321
222,2.1624829962993135
223,2.165067114532306
224,2.1676512327652984
225,2.1702353509982912
226,2.1728194692312837
227,2.1754035874642765
228,2.1779877056972694
229,2.1805718239302623
230,2.1831559421632547
231,2.1857400603962467
232,2.1883241786292396
233,2.190908296862232
234,2.193492415095224
235,2.196076533328217
236,2.1986606515612097
237,2.2012447697942026
238,2.2038288880271955
239,2.2064130062601874
240,2.20899712449318
241,2.2115812427261723
242,2.214165360959165
243,2.2167494791921576
244,2.2193335974251505
245,2.2219177156581433
246,2.2245018338911358
247,2.2270859521241286
248,2.2296700703571206
249,2.232254188590113
250,2.2348383068231055
251,2.2374224250560983
252,2.240006543289091
253,2.2418585237650643
254,2.2437105042410384
255,2.245562484717011
256,2.2474144651929846
257,2.249266445668958
258,2.2511184261449317
259,2.252970406620905
260,2.2548223870968784
261,2.256674367572851
262,2.258526348048825
263,2.2603783285247983
264,2.2622303090007714
265,2.2640822894767454
266,2.2659342699527185
267,2.267786250428692
268,2.2696382309046657
269,2.2714902113806383
270,2.2733421918566123
271,2.2751941723325855
272,2.2770461528085586
273,2.2788981332845326
274,2.2807501137605053
275,2.2826020942364793
276,2.284454074712452
277,2.286306055188425
278,2.2881580356643996
279,2.2900100161403723
280,2.2918619966163454
281,2.2937139770923194
282,2.295565957568292
283,2.2974179380442656
284,2.299269918520239
285,2.3011218989962123
286,2.3029738794721863
287,2.3048258599481595
288,2.306677840424133
289,2.308529820900106
290,2.3103818013760793
291,2.312233781852053
292,2.314085762328026
293,2.3159377428039996
294,2.3177897232799736
295,2.3196417037559467
296,2.32149368423192
297,2.3233456647078934
298,2.3251976451838665
299,2.32704962565984
300,2.328901606135813
301,2.3307535866117868
