candidate_id,c_0,delta_decay_power,zeta,eta_plus,eta_minus,final_mean_regret,mean_path_regret,final_regret_std,final_mean_reference_price,final_mean_price_estimate,is_default_candidate
c0_0_05_decay_0_25,0.05,0.25,0.1,0.1,0.3,9.929915242520854,7.081756138429704,5.365794817693338,1.0824541870501845,1.0887041870501846,False
c0_0_05_decay_0_25,0.05,0.25,0.1,0.1,0.45,11.134739735044054,7.704670736043557,6.464412329539281,1.077366277198546,1.0836162771985458,False
c0_0_05_decay_0_25,0.05,0.25,0.4,0.1,0.15,10.406957301690108,7.3773218543317665,5.107432359729238,1.0808289715405164,1.0870789715405162,False
c0_0_05_decay_0_25,0.05,0.25,0.4,0.1,0.3,11.591294430263948,8.1545402185427,6.469347729455664,1.0755740430388014,1.0818240430388018,False
c0_0_05_decay_0_25,0.05,0.25,0.4,0.1,0.45,13.777822521556605,9.531829792875756,8.537353739863955,1.0730578723216648,1.079307872321665,False
c0_0_05_decay_0_3,0.05,0.3,0.02,0.1,0.15,9.439314040991217,6.605922773404556,5.765386777530913,1.0888066920959254,1.0929301543170908,False
c0_0_05_decay_0_3,0.05,0.3,0.02,0.1,0.3,9.840180854199392,6.967756274449328,6.178056028457987,1.0856470035993726,1.0897704658205378,False
c0_0_05_decay_0_3,0.05,0.3,0.02,0.1,0.45,10.895801449443189,7.500773448851102,7.104726921115406,1.0803978809851196,1.0845213432062846,False
c0_0_05_decay_0_3,0.05,0.3,0.1,0.1,0.15,9.514812870020705,6.663071360720869,5.689722319710176,1.0878964099094395,1.092019872130605,False
c0_0_05_decay_0_3,0.05,0.3,0.1,0.1,0.3,10.001593271189048,7.074778371822248,6.221142950639861,1.0844271242734906,1.0885505864946559,False
c0_0_05_decay_0_3,0.05,0.3,0.1,0.1,0.45,11.298792968002905,7.742997255712145,7.337140244893515,1.078879279801494,1.0830027420226593,False
c0_0_05_decay_0_3,0.05,0.3,0.4,0.1,0.15,10.37403411719492,7.26004946498097,5.987189732242933,1.082634772624623,1.0867582348457883,False
c0_0_05_decay_0_3,0.05,0.3,0.4,0.1,0.3,11.787595482566234,8.188331644667455,7.37188285815377,1.0767796273637678,1.080903089584933,False
c0_0_05_decay_0_3,0.05,0.3,0.4,0.1,0.45,14.189570542215595,9.675199336017,9.591657874939326,1.0739466671789522,1.0780701294001171,False
c0_0_1_decay_0_2,0.1,0.2,0.02,0.1,0.15,12.734806168795293,9.061837369899973,7.977176665893544,1.071322408076139,1.0902688651575192,False
c0_0_1_decay_0_2,0.1,0.2,0.02,0.1,0.3,12.721323780834009,9.202098365677763,6.967621440419179,1.0711805250796906,1.0901269821610708,False
c0_0_1_decay_0_2,0.1,0.2,0.02,0.1,0.45,14.728321463362994,10.429240854684672,7.616463934890037,1.0653937031452376,1.0843401602266176,False
c0_0_1_decay_0_2,0.1,0.2,0.1,0.1,0.15,12.884192715839987,9.17095490561396,8.362001713567253,1.0710817595753874,1.0900282166567674,False
c0_0_1_decay_0_2,0.1,0.2,0.1,0.1,0.3,12.951859646784461,9.396016861575568,7.497584256330101,1.071077347261597,1.090023804342977,False
c0_0_1_decay_0_2,0.1,0.2,0.1,0.1,0.45,15.151116806952967,10.75202635495436,8.312987575930261,1.0652646788647444,1.0842111359461242,False
c0_0_1_decay_0_2,0.1,0.2,0.4,0.1,0.15,13.71995568313341,9.75016453724246,10.358335702140756,1.0695716004685676,1.0885180575499476,False
c0_0_1_decay_0_2,0.1,0.2,0.4,0.1,0.3,14.449288367454614,10.51207174384721,10.740390425147334,1.0697367872618355,1.0886832443432155,False
c0_0_1_decay_0_2,0.1,0.2,0.4,0.1,0.45,18.403207204607195,13.020978594600457,12.873076856246785,1.0642246529545534,1.0831711100359336,False
