period,mean_regret,std_regret,standard_error,ci95_lower,ci95_upper
1,0.01694449805846987,0.0,0.0,0.01694449805846987,0.01694449805846987
2,0.03388899611693974,0.0,0.0,0.03388899611693974,0.03388899611693974
3,0.034015565870335274,0.0,0.0,0.034015565870335274,0.034015565870335274
4,0.03414213562373081,0.0,0.0,0.03414213562373081,0.03414213562373081
5,0.12407164681777538,0.06679709229526942,0.021123095272953585,0.08267038008278635,0.16547291355276442
6,0.21400115801181996,0.13359418459053884,0.04224619054590717,0.1311986245418419,0.296803691481798
7,0.30393066920586453,0.20039127688580827,0.06336928581886075,0.17972686900089746,0.4281344694108316
8,0.39386018039990905,0.2671883691810777,0.08449238109181434,0.22825511345995295,0.5594652473398651
9,0.44867752486458523,0.32654889257763486,0.10326382679509785,0.24628042434619343,0.651074625382977
10,0.5034948693292611,0.386139900710137,0.12210815817153023,0.2641628793130619,0.7428268593454603
11,0.5583122137939371,0.44586898934093655,0.14099615443546967,0.2819597511004166,0.8346646764874577
12,0.6131295582586131,0.5056872328328063,0.1599123439419549,0.2997013641323816,0.9265577523848447
13,0.6404036683648779,0.5147804071837321,0.16278785815294977,0.3213394663850964,0.9594678703446595
14,0.6676777784711424,0.5246776148551174,0.1659176300246767,0.3424792236227761,0.9928763333195088
15,0.6949518885774071,0.5353342630352724,0.16928755807191448,0.3631482747564547,1.0267555023983594
16,0.7222259986836718,0.5467059434180673,0.17288359915522322,0.38337414433943423,1.0610778530279092
17,0.7495001087899366,0.5587490006231933,0.1766919482312132,0.4031838902567587,1.0958163273231145
18,0.7767742188962012,0.5714209871590762,0.1806991822244509,0.42260382173627753,1.130944616056125
19,0.8040483290024657,0.5846810114703115,0.18489237008972179,0.441659283626611,1.1664373743783205
20,0.8313224391087305,0.5984899894916349,0.1892591523603805,0.46037450048238476,1.2022703777350763
21,0.8625076850354176,0.6185185432532792,0.1955927371729734,0.4791459201763898,1.2458694498944456
22,0.8936929309621044,0.6400517624274654,0.20240213896757725,0.49698473858565306,1.290401123338556
23,0.9248781768887916,0.6629430429808698,0.20964099747824502,0.5139818218314314,1.3357745319461518
24,0.9560634228154784,0.6870566550866464,0.2172663911650513,0.5302212961319779,1.381905549498979
25,0.9872486687421655,0.7122684646766635,0.22523906538894434,0.5457801005798346,1.4287172369044965
26,1.0184339146688526,0.7384660003403924,0.23352345356703177,0.5607279456774703,1.4761398836602349
27,1.0496191605955398,0.7655480722701262,0.2420875566724788,0.5751275495174815,1.5241107716735982
28,1.0808044065222266,0.7934241095821082,0.25090273367704885,0.5890350485152109,1.5725737645292424
29,1.089754468100987,0.7874084547564283,0.2490004165903957,0.6017136515838114,1.5777952846181624
30,1.0987045296797473,0.7816477891576441,0.24717873417732214,0.6142342106921959,1.5831748486672987
31,1.1076545912585076,0.7761477904919536,0.24543948188617523,0.6265932067616042,1.588715975755411
32,1.116604652837268,0.770914037875451,0.24378442398837383,0.6387871818200552,1.5944221238544807
33,1.1255547144160283,0.7659519891081328,0.2422152863918182,0.6508127530880646,1.600296675743992
34,1.1345047759947886,0.7612669572241789,0.2407337492254378,0.6626666275129305,1.6063429244766467
35,1.143454837573549,0.7568640864920179,0.2393414392497456,0.6743456166440476,1.6125640585030503
36,1.1524048991523093,0.7527483280611227,0.23803992215567865,0.6858466517271791,1.6189631465774394
37,1.1613549607310696,0.748924415474363,0.23683069482092395,0.6971667988820587,1.6255431225800805
38,1.1703050223098297,0.7453968402842871,0.23571517759910984,0.7083032742155744,1.632306770404085
39,1.1792550838885902,0.7421698280281703,0.23469470672244908,0.71925345871259,1.6392567090645904
40,1.1882051454673506,0.7392473148292867,0.2337705269024114,0.7300149127386242,1.646395378196077
41,1.197155207046111,0.7366329248999391,0.2329437842155569,0.7405853899836194,1.6537250241086023
42,1.206105268624871,0.7343299492246997,0.2322155193625848,0.7509628506742048,1.6612476865755372
43,1.2150553302036313,0.7323413256995969,0.231586661387793,0.761145473883557,1.6689651865237056
